course name, instructor name, must on days, must start time, must end time, Note
200,Ferjan-Ramirez,MWF,9:30,10:20,
210,McGarrity,-,-,-,
233,Evans,MWF,8:30,9:20,
432/532,Wassink,-,11:20,-,
433/533,Evans,-,-,-,
441/541,Ferjan-Ramirez,-,-,-,
450/550,Wassink,-,-,15:20,
461,Hedding,-,-,11:20,
478/578,Ogihara,-,-,15:20,
507,Hedding,-,12:00,15:20,
566,Bender,-,-,15:20,
570,Xia,-,13:00,14:20,
571,Steinert-Threlkeld,-,-,15:20,
575-Ben,Bender,-,15:30,17:50,
580-Cit,Citko,-,15:30,17:50,
580-Ogi,Ogihara,-,15:30,17:50,
580-Wri,Wright,-,15:30,17:50,
580-TBA,TBA,-,15:30,17:50,
599A,lingColloq,F,15:30,17:50,
599B,proseminar,-,-,-,
,,,,,"TA sessions"
,,,,,"200 has 8 sessions, 4 TAs, must meet on TR"
200AA,TA1,TR,-,15:20, 
200AB,TA1,TR,-,15:20,
200AC,TA2,TR,-,15:20,
200AD,TA2,TR,-,15:20,
200AE,TA3,TR,-,15:20,
200AF,TA3,TR,-,15:20,
200AG,TA4,TR,-,17:20,
200AH,TA4,TR,-,17:20,
,,,,,"233 has 6 sessions, 2 TAs, must meet on R"
233AA,TA5,R,-,15:20,
233AD,TA5,R,-,15:20,
233AE,TA5,R,-,15:20,
233AF,TA6,R,-,15:20,
233AG,TA6,R,-,15:20,
233AH,TA6,R,-,15:20,
450AA,TA7,R,-,15:20,